,Value
2022-07-22,582147984.629793
2022-07-25,576314376.0412272
2022-07-26,566158777.3028642
2022-07-27,564263921.3796701
2022-07-28,561602570.3544501
2022-07-29,561602590.3544501
2022-08-01,588193719.8690331
2022-08-02,594091309.1810449
2022-08-03,585026132.9835391
2022-08-04,583213109.9231665
2022-08-05,584400963.9839061
2022-08-08,585422080.7528284
2022-08-10,590215164.6123508
2022-08-11,599030252.9896657
2022-08-12,595591728.062191
2022-08-16,608282974.1555212
2022-08-17,610179357.5629928
2022-08-18,604698566.3603934
2022-08-19,594841517.9363006
2022-08-22,573543580.0376817
2022-08-23,573543580.0376817
2022-08-24,573543580.0376817
2022-08-25,573543580.0376817
2022-08-26,573543580.0376817
2022-08-29,573543580.0376817
2022-08-30,573543580.0376817
2022-09-01,573543600.0376817
2022-09-02,569559065.4974787
2022-09-05,569559065.4974787
2022-09-06,569559065.4974787
2022-09-07,569559065.4974787
2022-09-08,569559065.4974787
2022-09-09,569559065.4974787
2022-09-12,569559065.4974787
2022-09-13,569559065.4974787
2022-09-14,569559065.4974787
2022-09-15,569559065.4974787
2022-09-16,569559065.4974787
2022-09-19,569559065.4974787
2022-09-20,569559065.4974787
2022-09-21,569559065.4974787
2022-09-22,569559065.4974787
2022-09-23,569559065.4974787
2022-09-26,569559065.4974787
2022-09-27,569559065.4974787
2022-09-28,569559065.4974787
2022-09-29,569559065.4974787
2022-09-30,569559065.4974787
2022-10-03,569559065.4974787
2022-10-04,569559065.4974787
2022-10-06,569559065.4974787
2022-10-07,569559065.4974787
2022-10-10,569559065.4974787
2022-10-11,569559065.4974787
2022-10-12,569559065.4974787
2022-10-13,569559065.4974787
2022-10-14,569559065.4974787
2022-10-17,569559065.4974787
2022-10-18,569559065.4974787
2022-10-19,569559065.4974787
2022-10-20,569559065.4974787
2022-10-21,569559065.4974787
2022-10-24,569559065.4974787
2022-10-25,569559085.4974787
2022-10-27,571966825.0648043
2022-10-28,573743403.4066249
2022-10-31,580031576.9940226
2022-11-01,587465160.6358954
2022-11-02,592537799.8450716
2022-11-03,586296344.6726348
2022-11-04,592935187.82768
2022-11-07,608129640.62228
2022-11-09,610747796.3695374
2022-11-10,580639364.8369913
2022-11-11,590807952.0277586
2022-11-14,605394674.1589262
2022-11-15,612337379.7230935
2022-11-16,607475144.5267059
2022-11-17,593893603.5797143
2022-11-18,594407888.5487276
2022-11-21,593145571.790125
2022-11-22,593145571.790125
2022-11-23,593145571.790125
2022-11-24,593145571.790125
2022-11-25,593145591.790125
2022-11-28,599410488.7404124
2022-11-29,596932049.8375844
2022-11-30,602944487.2388694
2022-12-01,605239373.3061794
2022-12-02,601957743.6315985
2022-12-05,593925825.2565788
2022-12-06,589221411.4066602
2022-12-07,589221411.4066602
2022-12-08,589221411.4066602
2022-12-09,589221411.4066602
2022-12-12,589221411.4066602
2022-12-13,589221411.4066602
2022-12-14,589221411.4066602
2022-12-15,589221411.4066602
2022-12-16,589221411.4066602
2022-12-19,589221411.4066602
2022-12-20,589221411.4066602
2022-12-21,589221411.4066602
2022-12-22,589221411.4066602
2022-12-23,589221411.4066602
2022-12-26,589221411.4066602
2022-12-27,589221411.4066602
2022-12-28,589221411.4066602
2022-12-29,589221411.4066602
2022-12-30,589221411.4066602
2023-01-02,589221411.4066602
2023-01-03,589221411.4066602
2023-01-04,589221411.4066602
2023-01-05,589221411.4066602
2023-01-06,589221411.4066602
2023-01-09,589221411.4066602
2023-01-10,589221431.4066602
2023-01-11,599323905.0893804
2023-01-12,595038749.4597216
2023-01-13,591711160.1525123
2023-01-16,591543568.6782545
2023-01-17,597169344.3735231
2023-01-18,589772088.4035817
2023-01-19,578688078.0978934
2023-01-20,582614147.4495599
2023-01-23,582614167.4495599
2023-01-24,597746374.396115
2023-01-25,601481819.2422836
2023-01-27,634863109.5347583
2023-01-30,633506937.8176466
2023-01-31,641358529.3796005
2023-02-01,640406823.1724511
2023-02-02,635124862.9889135
2023-02-03,636980662.1121733
2023-02-06,632198334.745065
2023-02-07,624203968.0370195
2023-02-08,624632209.9805132
2023-02-09,623847047.7498869
2023-02-10,630437675.3269358
2023-02-13,631389342.3420992
2023-02-14,627772838.9761264
2023-02-15,631555921.6370763
2023-02-16,633054852.3128858
2023-02-17,627344622.0611726
2023-02-20,630294902.9139159
2023-02-21,626678400.0457276
2023-02-22,626678400.0457276
2023-02-23,626678400.0457276
2023-02-24,626678400.0457276
2023-02-27,626678400.0457276
2023-02-28,626678400.0457276
2023-03-01,626678400.0457276
2023-03-02,626678400.0457276
2023-03-03,626678400.0457276
2023-03-06,626678420.0457276
2023-03-08,629115290.4628451
2023-03-09,623811502.2440324
2023-03-10,623285929.5055158
2023-03-13,610886600.3332083
2023-03-14,610886600.3332083
2023-03-15,610886600.3332083
2023-03-16,610886600.3332083
2023-03-17,610886600.3332083
2023-03-20,610886600.3332083
2023-03-21,610886600.3332083
2023-03-22,610886600.3332083
2023-03-23,610886600.3332083
2023-03-24,610886600.3332083
2023-03-27,610886600.3332083
2023-03-28,610886600.3332083
2023-03-29,610886600.3332083
2023-03-31,610886600.3332083
2023-04-03,610886620.3332083
2023-04-05,615581296.7902305
2023-04-06,626294808.5769467
2023-04-10,667656159.6563365
2023-04-11,663635609.7213852
2023-04-12,670400746.7578437
2023-04-13,676395497.8056209
2023-04-17,679380817.002821
2023-04-18,685881186.040959
2023-04-19,680247537.4291523
2023-04-20,686579355.4032781
2023-04-21,681379105.6250199
2023-04-24,683497724.8430759
2023-04-25,684629252.6226451
2023-04-26,688697972.9772707
2023-04-27,693416732.339635
2023-04-28,698809607.8630898
2023-05-02,692790746.1279627
2023-05-03,696522442.9566951
2023-05-04,696233510.4709563
2023-05-05,692381490.9021709
2023-05-08,713062179.1354804
2023-05-09,730926025.3815552
2023-05-10,735139258.1024871
2023-05-11,737306026.1908381
2023-05-12,744769304.2298077
2023-05-15,765353726.973303
2023-05-16,758829346.8971329
2023-05-17,747273149.1000735
2023-05-18,739809831.8756684
2023-05-19,749271415.8828955
2023-05-22,755410612.0701133
2023-05-23,761092443.950296
2023-05-24,755482871.8629589
2023-05-25,742458067.0538735
2023-05-26,746526836.0294601
2023-05-29,754158668.4937094
2023-05-30,751293710.9577544
2023-05-31,756060701.3931144
2023-06-01,767664900.4730953
2023-06-02,775176466.8691258
2023-06-05,786275161.6772687
2023-06-06,798384983.7313057
2023-06-07,816200737.5363904
2023-06-08,815309936.2693038
2023-06-09,812806130.817824
2023-06-12,815526696.261139
2023-06-13,815671089.2302893
2023-06-14,821208437.0153677
2023-06-15,823953011.6207917
2023-06-16,822436231.3901993
2023-06-19,820221325.0099891
2023-06-20,832860819.0394951
2023-06-21,838687131.3230506
2023-06-22,829273629.9450675
2023-06-23,813022832.9325702
2023-06-26,813022852.9325702
2023-06-27,824441153.7971435
2023-06-28,824848907.6526356
2023-06-30,855193652.894662
2023-07-03,855457531.7259773
2023-07-04,852698957.0416117
2023-07-05,847349645.9945148
2023-07-06,860830838.6717138
2023-07-07,880452955.6092755
2023-07-10,897628298.839688
2023-07-11,902473915.2214518
2023-07-12,897916189.7060903
2023-07-13,893622398.0099553
2023-07-14,897340469.6942749
2023-07-17,893622358.5271394
2023-07-18,882731821.3044894
2023-07-19,890455925.4581747
2023-07-20,893046673.4316322
2023-07-21,899283509.7455792
2023-07-24,906719782.8876662
2023-07-25,918881672.2509109
2023-07-26,933370387.5099479
2023-07-27,925406349.3424221
2023-07-28,920686748.3922828
2023-07-31,926774621.474451
2023-08-01,932934694.3850262
2023-08-02,906393532.24007
2023-08-03,894915619.4212554
2023-08-04,894915619.4212554
2023-08-07,894915619.4212554
2023-08-08,894915619.4212554
2023-08-09,894915619.4212554
2023-08-10,894915619.4212554
2023-08-11,894915619.4212554
2023-08-14,894915619.4212554
2023-08-16,894915619.4212554
2023-08-17,894915619.4212554
2023-08-18,894915619.4212554
2023-08-21,894915639.4212554
2023-08-22,898141695.3298674
2023-08-23,890678456.7939761
2023-08-24,890678456.7939761
2023-08-25,890678456.7939761
2023-08-28,890678456.7939761
2023-08-29,890678456.7939761
2023-08-30,890678456.7939761
2023-08-31,890678456.7939761
2023-09-01,890678456.7939761
2023-09-04,890678456.7939761
2023-09-05,890678476.7939761
2023-09-06,885978164.3757672
2023-09-07,891817193.2723885
2023-09-08,906305691.0191189
2023-09-11,921036441.5619463
2023-09-12,908583121.6665114
2023-09-13,908050112.2757571
2023-09-14,910351765.2452775
2023-09-15,919655443.8651451
2023-09-18,929395213.0114069
2023-09-20,931575724.7943484
2023-09-21,917159923.5914187
2023-09-22,906257196.7992873
2023-09-25,906257196.7992873
2023-09-26,906257196.7992873
2023-09-27,906257196.7992873
2023-09-28,906257196.7992873
2023-09-29,906257216.7992873
2023-10-03,902160193.22372
2023-10-04,902160193.22372
2023-10-05,902160193.22372
2023-10-06,902160193.22372
2023-10-09,902160193.22372
2023-10-10,902160213.22372
2023-10-11,913553245.8916478
2023-10-12,917294980.8997833
2023-10-13,944590269.3055952
2023-10-16,961931674.8818548
2023-10-17,950418745.5785266
2023-10-18,956798808.3247923
2023-10-19,959269279.786531
2023-10-20,959461203.4201242
2023-10-23,940033056.5335187
2023-10-25,923818959.0525677
2023-10-26,923818959.0525677
2023-10-27,923818959.0525677
2023-10-30,923818959.0525677
2023-10-31,923818959.0525677
2023-11-01,923818959.0525677
2023-11-02,923818959.0525677
2023-11-03,923818979.0525677
