,Value
2019-08-07,96301871.27051158
2019-08-08,96301871.27051158
2019-08-09,96301871.27051158
2019-08-13,96301871.27051158
2019-08-14,96301871.27051158
2019-08-16,96301871.27051158
2019-08-19,96301871.27051158
2019-08-20,96301871.27051158
2019-08-21,96301871.27051158
2019-08-22,96301871.27051158
2019-08-23,96301871.27051158
2019-08-26,96301871.27051158
2019-08-27,96301871.27051158
2019-08-28,96301871.27051158
2019-08-29,96301871.27051158
2019-08-30,96301871.27051158
2019-09-03,96301871.27051158
2019-09-04,96301871.27051158
2019-09-05,96301871.27051158
2019-09-06,96301891.27051158
2019-09-09,96769892.54003984
2019-09-11,105541637.97565205
2019-09-12,104298073.33107288
2019-09-13,103228353.12775744
2019-09-16,103067891.61584006
2019-09-17,99979062.29441456
2019-09-18,98454707.83111773
2019-09-19,99150030.44162881
2019-09-20,105260820.74124512
2019-09-23,105046882.8077763
2019-09-24,104592247.20809886
2019-09-25,100139524.25536579
2019-09-26,100166245.89402623
2019-09-27,100166245.89402623
2019-09-30,100166245.89402623
2019-10-01,100166245.89402623
2019-10-03,100166245.89402623
2019-10-04,100166245.89402623
2019-10-07,100166245.89402623
2019-10-09,100166245.89402623
2019-10-10,100166245.89402623
2019-10-11,100166245.89402623
2019-10-14,100166265.89402623
2019-10-15,99955584.71977037
2019-10-16,99718571.01942657
2019-10-17,107698163.17142035
2019-10-18,109093929.04744858
2019-10-22,104590599.6692358
2019-10-23,103682032.0871806
2019-10-24,105117305.46353081
2019-10-25,101535699.66706194
2019-10-27,115322222.5773321
2019-10-29,131452593.7829026
2019-10-30,135389718.80642596
2019-10-31,138602623.12003595
2019-11-01,138378768.4632481
2019-11-04,137338521.4541679
2019-11-05,136337783.09351447
2019-11-06,137299024.16710496
2019-11-07,135310710.76644197
2019-11-08,135824249.66839337
2019-11-11,135363378.2560608
2019-11-13,135890083.15839052
2019-11-14,132426996.16088685
2019-11-15,134125626.6863226
2019-11-18,134691833.08258116
2019-11-19,133414575.95951411
2019-11-20,132677179.79612485
2019-11-21,130952204.48640443
2019-11-22,130952204.48640443
2019-11-25,130952204.48640443
2019-11-26,130952204.48640443
2019-11-27,130952204.48640443
2019-11-28,130952204.48640443
2019-11-29,130952204.48640443
2019-12-02,130952204.48640443
2019-12-03,130952204.48640443
2019-12-04,130952224.48640443
2019-12-05,132544871.20291995
2019-12-06,128872548.31535333
2019-12-09,128872548.31535333
2019-12-10,128872548.31535333
2019-12-11,128872548.31535333
2019-12-12,128872568.31535333
2019-12-13,135281502.73516375
2019-12-16,132998003.6438571
2019-12-17,135420275.99774435
2019-12-18,133666656.1163075
2019-12-19,134575003.86476037
