,0,1
0,1.1278114500087975,10-1-1-UP-DN
1,1.1081285844586009,20-1-1-UP-DN
2,1.1000160288953205,100-1-2-UP-UP
3,1.1000160288953205,100-1-1-UP-UP
4,1.0932018567723576,80-1-2-UP-UP
5,1.0932018567723576,80-1-1-UP-UP
6,1.08946455436536,90-1-2-UP-UP
7,1.08946455436536,90-1-1-UP-UP
8,1.0878405076589885,40-1-2-UP-DN
9,1.0781231867011971,50-1-2-UP-UP
10,1.0781231867011971,50-1-1-UP-UP
11,1.0735199168191953,30-1-2-UP-DN
12,1.0718704825502339,20-1-2-DN-UP
13,1.0718704825502339,20-1-1-DN-UP
14,1.0718704825502339,20-1-1-DN-DN
15,1.0697583995999007,30-1-1-UP-DN
16,1.0693144774603138,20-2-1-UP-DN
17,1.0667712680838057,10-2-2-UP-DN
18,1.0635474892682029,70-1-2-UP-UP
19,1.0635474892682029,70-1-1-UP-UP
20,1.0613364995044923,10-2-1-UP-DN
21,1.0600272863167304,80-1-1-UP-DN
22,1.0593749141949365,5-1-1-UP-DN
23,1.0581184201394909,5-1-2-UP-UP
24,1.0581184201394909,5-1-1-UP-UP
25,1.05805536889908,50-1-2-DN-DN
26,1.0572670271372335,60-1-2-UP-UP
27,1.0572670271372335,60-1-1-UP-UP
28,1.0562351315972787,50-1-2-UP-DN
29,1.0515370827331598,60-1-1-UP-DN
30,1.0502807158937704,10-1-2-UP-DN
31,1.0478203171219627,30-2-1-UP-DN
32,1.0460513569671437,30-1-2-DN-UP
33,1.0460513569671437,30-1-1-DN-UP
34,1.0460513569671437,30-1-1-DN-DN
35,1.0449871877027084,20-2-2-UP-DN
36,1.0445103445660726,20-1-2-UP-DN
37,1.042222530692676,20-1-2-UP-UP
38,1.042222530692676,20-1-1-UP-UP
39,1.040354485076103,30-2-2-UP-DN
40,1.0401820835105788,70-1-1-UP-DN
41,1.0365234053866448,100-1-1-UP-DN
42,1.0358165800964423,40-1-2-UP-UP
43,1.0358165800964423,40-1-1-UP-UP
44,1.0356198474565734,60-1-2-DN-DN
45,1.035213233365307,90-1-1-UP-DN
46,1.035112754557688,80-2-1-UP-DN
47,1.0346624946803584,40-2-2-UP-DN
48,1.0324107164254503,40-1-2-DN-DN
49,1.0291988813753448,80-1-2-DN-UP
50,1.0291988813753448,80-1-1-DN-UP
51,1.0291988813753448,80-1-1-DN-DN
52,1.029146270021611,50-2-2-UP-DN
53,1.0284994673475318,60-2-1-UP-UP
54,1.0283179619644942,70-2-1-UP-DN
55,1.0252654455026307,50-1-1-UP-DN
56,1.0238613501870462,40-1-1-UP-DN
57,1.023614313833796,30-1-2-UP-UP
58,1.023614313833796,30-1-1-UP-UP
59,1.0189968740355186,60-1-2-DN-UP
60,1.0189968740355186,60-1-1-DN-UP
61,1.0189968740355186,60-1-1-DN-DN
62,1.0179845101825475,50-2-1-UP-UP
63,1.013147219929521,50-2-1-UP-DN
64,1.012464186985775,10-1-2-UP-UP
65,1.012464186985775,10-1-1-UP-UP
66,1.0117711667760105,40-1-2-DN-UP
67,1.0117711667760105,40-1-1-DN-UP
68,1.0117711667760105,40-1-1-DN-DN
69,1.011311789524486,60-2-1-UP-DN
70,1.0104798858110284,40-2-1-UP-UP
71,1.0090264347217088,90-2-1-UP-DN
72,1.0077946104959985,70-1-2-DN-DN
73,1.0077114635833178,30-1-2-DN-DN
74,1.0044539287523975,10-1-2-DN-UP
75,1.0044539287523975,10-1-1-DN-UP
76,1.0044539287523975,10-1-1-DN-DN
77,1.0030663511612394,100-2-1-UP-DN
78,1.002165859514253,70-2-1-UP-UP
79,1.00103208199572,20-1-2-DN-DN
80,1.000428430631967,5-2-2-DN-UP
81,1.000428430631967,5-2-2-DN-DN
82,1.000428430631967,5-2-1-DN-UP
83,1.000428430631967,5-2-1-DN-DN
84,1.000428430631967,5-1-2-DN-DN
85,0.9988120997563782,50-1-2-DN-UP
86,0.9988120997563782,50-1-1-DN-UP
87,0.9988120997563782,50-1-1-DN-DN
88,0.9979758253438187,40-2-1-UP-DN
89,0.9974162556161621,60-1-2-UP-DN
90,0.9963343125073725,5-1-2-UP-DN
91,0.9950238289894098,20-2-2-DN-UP
92,0.9950238289894098,20-2-2-DN-DN
93,0.9950238289894098,20-2-1-DN-UP
94,0.9950238289894098,20-2-1-DN-DN
95,0.9893310219560064,80-2-2-UP-DN
96,0.9892203994383156,100-1-2-UP-DN
97,0.9880992032570965,90-2-2-UP-DN
98,0.9871208989900178,80-2-1-UP-UP
99,0.9868699218299539,80-1-2-UP-DN
100,0.9867050320399146,60-2-2-UP-DN
101,0.9864952629115755,70-2-2-UP-DN
102,0.9863342580726738,10-2-1-UP-UP
103,0.9848258330687322,40-2-2-DN-UP
104,0.9848258330687322,40-2-2-DN-DN
105,0.9848258330687322,40-2-1-DN-UP
106,0.9848258330687322,40-2-1-DN-DN
107,0.9832654325176986,90-2-1-UP-UP
108,0.9830720625234786,90-1-2-UP-DN
109,0.981417129196654,70-1-2-DN-UP
110,0.981417129196654,70-1-1-DN-UP
111,0.981417129196654,70-1-1-DN-DN
112,0.9796631804063932,60-2-2-UP-UP
113,0.9790031125308579,90-1-2-DN-UP
114,0.9790031125308579,90-1-1-DN-UP
115,0.9790031125308579,90-1-1-DN-DN
116,0.9789085787492858,50-2-2-UP-UP
117,0.9785801508995342,70-1-2-UP-DN
118,0.9779664413893397,70-2-2-DN-UP
119,0.9779664413893397,70-2-2-DN-DN
120,0.9779664413893397,70-2-1-DN-UP
121,0.9779664413893397,70-2-1-DN-DN
