,0,1
121,-1.6101459188394127,20-2-2-DN-UP
122,-1.6101459188394127,20-2-2-DN-DN
123,-1.6101459188394127,20-2-1-DN-UP
124,-1.6101459188394127,20-2-1-DN-DN
125,-1.9708960516893868,70-1-2-UP-DN
126,-2.272807082842121,70-2-2-UP-DN
127,-2.2863068695403452,60-2-2-DN-UP
128,-2.2863068695403452,60-2-2-DN-DN
129,-2.2863068695403452,60-2-1-DN-UP
130,-2.2863068695403452,60-2-1-DN-DN
131,-2.2917082755796976,10-1-2-DN-DN
132,-2.3460441967664067,90-1-2-DN-DN
133,-2.40972775936439,80-2-1-UP-UP
134,-2.6275435568041914,10-2-2-DN-UP
135,-2.6275435568041914,10-2-2-DN-DN
136,-2.6275435568041914,10-2-1-DN-UP
137,-2.6275435568041914,10-2-1-DN-DN
138,-2.834433122416936,90-2-1-UP-UP
139,-2.9398760593561732,100-2-2-DN-UP
140,-2.9398760593561732,100-2-2-DN-DN
141,-2.9398760593561732,100-2-1-DN-UP
142,-2.9398760593561732,100-2-1-DN-DN
143,-3.069449613767473,60-2-2-UP-DN
144,-3.1430015811993357,100-2-2-UP-DN
145,-3.2505266508276804,100-2-1-UP-UP
146,-3.3347871975512486,30-2-2-DN-UP
147,-3.3347871975512486,30-2-2-DN-DN
148,-3.3347871975512486,30-2-1-DN-UP
149,-3.3347871975512486,30-2-1-DN-DN
150,-4.054856405380259,100-1-2-DN-UP
151,-4.054856405380259,100-1-1-DN-UP
152,-4.054856405380259,100-1-1-DN-DN
153,-4.199316242356566,10-1-2-UP-UP
154,-4.199316242356566,10-1-1-UP-UP
155,-4.98287187870441,100-1-2-DN-DN
156,-5.108129500441217,70-2-2-UP-UP
157,-5.285658890190238,30-2-1-UP-UP
158,-5.536776997474014,80-2-2-UP-UP
159,-6.046743722664428,60-2-2-UP-UP
160,-6.06051240219705,5-1-2-DN-UP
161,-6.06051240219705,5-1-1-DN-UP
162,-6.06051240219705,5-1-1-DN-DN
163,-6.497305834125845,10-2-1-UP-UP
164,-6.593221578418818,50-2-2-UP-UP
165,-6.793819780102029,90-2-2-UP-UP
166,-7.596965900219855,20-2-1-UP-UP
167,-8.1023882728686,40-2-2-UP-UP
168,-8.913909754442308,30-2-2-UP-UP
169,-9.423639152902965,20-2-2-UP-UP
170,-9.520568258837493,100-2-2-UP-UP
171,-11.145688790192022,10-2-2-UP-UP
172,-11.71076094841792,5-2-2-UP-UP
173,-11.71076094841792,5-2-2-UP-DN
174,-11.71076094841792,5-2-1-UP-UP
175,-11.71076094841792,5-2-1-UP-DN
