,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-10 18:30:00,10350.0498046875,10567.150390625,10333.849609375,10549.150390625,425500.0,0.0,0.0
2018-12-11 18:30:00,10591.0,10752.2001953125,10560.7998046875,10737.599609375,360500.0,0.0,0.0
2018-12-12 18:30:00,10810.75,10838.599609375,10749.5,10791.5498046875,376200.0,0.0,0.0
2018-12-13 18:30:00,10784.5,10815.75,10752.099609375,10805.4501953125,340100.0,0.0,0.0
2018-12-16 18:30:00,10853.2001953125,10900.349609375,10844.849609375,10888.349609375,296900.0,0.0,0.0
2018-12-17 18:30:00,10850.900390625,10915.400390625,10819.099609375,10908.7001953125,286100.0,0.0,0.0
2018-12-18 18:30:00,10930.5498046875,10985.150390625,10928.0,10967.2998046875,312100.0,0.0,0.0
2018-12-19 18:30:00,10885.2001953125,10962.5498046875,10880.0498046875,10951.7001953125,318900.0,0.0,0.0
2018-12-20 18:30:00,10944.25,10963.650390625,10738.650390625,10754.0,377500.0,0.0,0.0
2018-12-23 18:30:00,10780.900390625,10782.2998046875,10649.25,10663.5,223400.0,0.0,0.0
2018-12-25 18:30:00,10635.4501953125,10747.5,10534.5498046875,10729.849609375,263700.0,0.0,0.0
2018-12-26 18:30:00,10817.900390625,10834.2001953125,10764.4501953125,10779.7998046875,456100.0,0.0,0.0
2018-12-27 18:30:00,10820.9501953125,10893.599609375,10817.150390625,10859.900390625,245500.0,0.0,0.0
2018-12-30 18:30:00,10913.2001953125,10923.5498046875,10853.2001953125,10862.5498046875,180900.0,0.0,0.0
2019-01-01 18:30:00,10868.849609375,10895.349609375,10735.0498046875,10792.5,309700.0,0.0,0.0
2019-01-02 18:30:00,10796.7998046875,10814.0498046875,10661.25,10672.25,286200.0,0.0,0.0
2019-01-03 18:30:00,10699.7001953125,10741.0498046875,10628.650390625,10727.349609375,296600.0,0.0,0.0
2019-01-06 18:30:00,10804.849609375,10835.9501953125,10750.150390625,10771.7998046875,269400.0,0.0,0.0
2019-01-07 18:30:00,10786.25,10818.4501953125,10733.25,10802.150390625,277700.0,0.0,0.0
2019-01-08 18:30:00,10862.400390625,10870.400390625,10749.400390625,10855.150390625,333000.0,0.0,0.0
2019-01-09 18:30:00,10859.349609375,10859.349609375,10801.7998046875,10821.599609375,254400.0,0.0,0.0
2019-01-10 18:30:00,10834.75,10850.150390625,10739.400390625,10794.9501953125,260800.0,0.0,0.0
2019-01-13 18:30:00,10807.0,10808.0,10692.349609375,10737.599609375,298800.0,0.0,0.0
2019-01-14 18:30:00,10777.5498046875,10896.9501953125,10777.5498046875,10886.7998046875,310700.0,0.0,0.0
