,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-11 18:30:00,19497.44921875,19507.69921875,19361.75,19384.30078125,327900.0,0.0,0.0
2023-07-12 18:30:00,19495.19921875,19567.0,19385.80078125,19413.75,310400.0,0.0,0.0
2023-07-13 18:30:00,19493.44921875,19595.349609375,19433.5,19564.5,291200.0,0.0,0.0
2023-07-16 18:30:00,19612.150390625,19731.849609375,19562.94921875,19711.44921875,268700.0,0.0,0.0
2023-07-17 18:30:00,19787.5,19819.44921875,19690.19921875,19749.25,286400.0,0.0,0.0
2023-07-18 18:30:00,19802.94921875,19851.69921875,19727.44921875,19833.150390625,259700.0,0.0,0.0
2023-07-19 18:30:00,19831.69921875,19991.849609375,19758.400390625,19979.150390625,274700.0,0.0,0.0
2023-07-20 18:30:00,19800.44921875,19887.400390625,19700.0,19745.0,312500.0,0.0,0.0
2023-07-23 18:30:00,19748.44921875,19782.75,19658.30078125,19672.349609375,265600.0,0.0,0.0
2023-07-24 18:30:00,19729.349609375,19729.349609375,19615.94921875,19680.599609375,369700.0,0.0,0.0
2023-07-25 18:30:00,19733.349609375,19825.599609375,19716.69921875,19778.30078125,244700.0,0.0,0.0
2023-07-26 18:30:00,19850.900390625,19867.55078125,19603.55078125,19659.900390625,334900.0,0.0,0.0
2023-07-27 18:30:00,19659.75,19695.900390625,19563.099609375,19646.05078125,258700.0,0.0,0.0
2023-07-30 18:30:00,19666.349609375,19772.75,19597.599609375,19753.80078125,295100.0,0.0,0.0
2023-07-31 18:30:00,19784.0,19795.599609375,19704.599609375,19733.55078125,298000.0,0.0,0.0
2023-08-01 18:30:00,19655.400390625,19678.25,19423.55078125,19526.55078125,290700.0,0.0,0.0
2023-08-02 18:30:00,19463.75,19537.650390625,19296.44921875,19381.650390625,315700.0,0.0,0.0
2023-08-03 18:30:00,19462.80078125,19538.849609375,19436.44921875,19517.0,280800.0,0.0,0.0
2023-08-06 18:30:00,19576.849609375,19620.44921875,19524.80078125,19597.30078125,216600.0,0.0,0.0
2023-08-07 18:30:00,19627.19921875,19634.400390625,19533.099609375,19570.849609375,260300.0,0.0,0.0
2023-08-08 18:30:00,19578.80078125,19645.5,19467.5,19632.55078125,266500.0,0.0,0.0
2023-08-09 18:30:00,19605.55078125,19623.599609375,19495.400390625,19543.099609375,312200.0,0.0,0.0
2023-08-10 18:30:00,19554.25,19557.75,19412.75,19428.30078125,235500.0,0.0,0.0
2023-08-13 18:30:00,19383.94921875,19465.849609375,19257.900390625,19434.55078125,243900.0,0.0,0.0
2023-08-15 18:30:00,19369.0,19482.75,19317.19921875,19465.0,0.0,0.0,0.0
2023-08-16 18:30:00,19450.55078125,19461.55078125,19326.25,19365.25,268700.0,0.0,0.0
2023-08-17 18:30:00,19301.75,19373.80078125,19253.599609375,19310.150390625,256100.0,0.0,0.0
2023-08-20 18:30:00,19320.650390625,19425.94921875,19296.30078125,19393.599609375,262600.0,0.0,0.0
2023-08-21 18:30:00,19417.099609375,19443.5,19381.30078125,19396.44921875,208700.0,0.0,0.0
2023-08-22 18:30:00,19439.19921875,19472.05078125,19366.599609375,19444.0,225200.0,0.0,0.0
2023-08-23 18:30:00,19535.150390625,19584.44921875,19369.0,19386.69921875,268300.0,0.0,0.0
2023-08-24 18:30:00,19297.400390625,19339.55078125,19229.69921875,19265.80078125,466500.0,0.0,0.0
2023-08-27 18:30:00,19298.349609375,19366.849609375,19249.69921875,19306.05078125,248200.0,0.0,0.0
2023-08-28 18:30:00,19374.849609375,19377.900390625,19309.099609375,19342.650390625,307400.0,0.0,0.0
2023-08-29 18:30:00,19433.44921875,19452.80078125,19334.75,19347.44921875,233000.0,0.0,0.0
2023-08-30 18:30:00,19375.55078125,19388.19921875,19223.650390625,19253.80078125,562600.0,0.0,0.0
2023-08-31 18:30:00,19258.150390625,19458.55078125,19255.69921875,19435.30078125,333000.0,0.0,0.0
2023-09-03 18:30:00,19525.05078125,19545.150390625,19432.849609375,19528.80078125,296800.0,0.0,0.0
2023-09-04 18:30:00,19564.650390625,19587.05078125,19525.75,19574.900390625,256800.0,0.0,0.0
2023-09-05 18:30:00,19581.19921875,19636.44921875,19491.5,19611.05078125,287600.0,0.0,0.0
2023-09-06 18:30:00,19598.650390625,19737.0,19550.05078125,19727.05078125,304900.0,0.0,0.0
2023-09-07 18:30:00,19774.80078125,19867.150390625,19727.05078125,19819.94921875,288100.0,0.0,0.0
2023-09-10 18:30:00,19890.0,20008.150390625,19865.349609375,19996.349609375,248800.0,0.0,0.0
2023-09-11 18:30:00,20110.150390625,20110.349609375,19914.650390625,19993.19921875,328100.0,0.0,0.0
2023-09-12 18:30:00,19989.5,20096.900390625,19944.099609375,20070.0,251400.0,0.0,0.0
2023-09-13 18:30:00,20127.94921875,20167.650390625,20043.44921875,20103.099609375,275100.0,0.0,0.0
2023-09-14 18:30:00,20156.44921875,20222.44921875,20129.69921875,20192.349609375,438200.0,0.0,0.0
2023-09-17 18:30:00,20155.94921875,20195.349609375,20115.69921875,20133.30078125,264900.0,0.0,0.0
2023-09-19 18:30:00,19980.75,20050.650390625,19878.849609375,19901.400390625,378100.0,0.0,0.0
2023-09-20 18:30:00,19840.55078125,19848.75,19709.94921875,19742.349609375,275100.0,0.0,0.0
