,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-22 03:45:00,16865.55078125,16920.19921875,16840.349609375,16884.0,0.0,0.0,0.0
2021-12-22 04:45:00,16884.150390625,16885.69921875,16819.69921875,16868.150390625,0.0,0.0,0.0
2021-12-22 05:45:00,16868.25,16904.30078125,16859.599609375,16878.599609375,0.0,0.0,0.0
2021-12-22 06:45:00,16878.150390625,16917.349609375,16869.69921875,16874.19921875,0.0,0.0,0.0
2021-12-22 07:45:00,16875.05078125,16902.349609375,16850.599609375,16877.30078125,0.0,0.0,0.0
2021-12-22 08:45:00,16877.5,16961.69921875,16869.349609375,16946.75,0.0,0.0,0.0
2021-12-22 09:45:00,16947.650390625,16970.599609375,16946.19921875,16968.099609375,0.0,0.0,0.0
2021-12-23 03:45:00,17066.80078125,17107.400390625,17032.25,17057.75,0.0,0.0,0.0
2021-12-23 04:45:00,17057.650390625,17066.0,17032.80078125,17041.150390625,0.0,0.0,0.0
2021-12-23 05:45:00,17040.849609375,17076.05078125,17016.400390625,17070.099609375,0.0,0.0,0.0
2021-12-23 06:45:00,17070.05078125,17091.94921875,17068.69921875,17085.55078125,0.0,0.0,0.0
2021-12-23 07:45:00,17085.900390625,17117.94921875,17046.5,17049.900390625,0.0,0.0,0.0
2021-12-23 08:45:00,17049.75,17095.25,17041.849609375,17087.400390625,0.0,0.0,0.0
2021-12-23 09:45:00,17087.5,17089.349609375,17043.349609375,17051.05078125,0.0,0.0,0.0
2021-12-24 03:45:00,17149.5,17151.44921875,16925.400390625,16945.900390625,0.0,0.0,0.0
2021-12-24 04:45:00,16944.69921875,16977.55078125,16910.19921875,16967.55078125,0.0,0.0,0.0
2021-12-24 05:45:00,16968.099609375,16990.400390625,16925.349609375,16988.650390625,0.0,0.0,0.0
2021-12-24 06:45:00,16988.19921875,16989.44921875,16939.150390625,16943.5,0.0,0.0,0.0
2021-12-24 07:45:00,16943.5,17046.349609375,16941.5,17041.400390625,0.0,0.0,0.0
2021-12-24 08:45:00,17041.30078125,17068.150390625,16983.349609375,17001.80078125,0.0,0.0,0.0
2021-12-24 09:45:00,17002.69921875,17016.099609375,16994.0,16999.900390625,0.0,0.0,0.0
2021-12-27 03:45:00,16937.75,16993.80078125,16833.69921875,16963.650390625,0.0,0.0,0.0
2021-12-27 04:45:00,16963.650390625,17037.30078125,16953.80078125,17011.44921875,0.0,0.0,0.0
2021-12-27 05:45:00,17011.650390625,17029.5,16990.599609375,17020.650390625,0.0,0.0,0.0
2021-12-27 06:45:00,17020.900390625,17071.30078125,17020.19921875,17040.25,0.0,0.0,0.0
